host;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
127.0.0.1;tcp;22;ssh;open;;;syn-ack;;3;
127.0.0.1;tcp;25;smtp;open;;;syn-ack;;3;
127.0.0.1;tcp;80;http;open;;;syn-ack;;3;
127.0.0.1;tcp;111;rpcbind;open;;;syn-ack;;3;
127.0.0.1;tcp;443;https;open;;;syn-ack;;3;
127.0.0.1;tcp;631;ipp;open;;;syn-ack;;3;
127.0.0.1;tcp;902;iss-realsecure;open;;;syn-ack;;3;
127.0.0.1;tcp;3306;mysql;open;;;syn-ack;;3;
